Size	   Bubble Sort	Selection Sort	Insertion Sort
50	71642.06	22552.56	45251.113
100	57816.734	18431.53	87251.64
150	112707.51	43296.395	78336.45
200	145529.42	50964.92	29968.98
250	292441.03	104303.2	62084.145
300	322812.53	110384.14	65174.785
350	403197.0	134384.31	79266.4
400	560350.6	179800.84	104870.78
450	762371.25	247985.6	145891.73
500	885278.8	283850.3	168873.95
550	1078345.0	343021.62	201775.34
600	1319055.4	417401.9	254554.8
650	1425648.4	445848.62	269885.0
700	1592299.2	509702.62	304305.66
750	1852749.8	588649.25	349827.6
800	2313578.2	726233.6	434973.88
850	2442758.5	769101.06	478528.72
900	2709366.5	861197.44	512525.38
950	2990566.5	940392.8	558472.6
1000	3372912.0	1063816.8	638282.75
